symbol,name,market_cap,rank
BTC/USD,Bitcoin,1765343625000,1
ETH/USD,Ethereum,361626812500,2
USDT/USD,Tether USDt,186768828125,3
BNB/USD,BNB,117955312500,4
XRP/USD,XRP,116380140625,5
USDC/USD,USDC,77068898437.5,6
SOL/USD,Solana,70666929687.5,7
TRX/USD,TRON,27294080078.125,8
DOGE/USD,Dogecoin,21960783203.125,9
ADA/USD,Cardano,13096322265.625,10
BCH/USD,Bitcoin Cash,11753019531.25,11
LINK/USD,Chainlink,8782108398.4375,12
XMR/USD,Monero,8696273437.5,13
HYPE/USD,Hyperliquid,8250768554.6875,14
LEOU/USD,UNUS SED LEO,7466449218.75,15
ZEC/USD,Zcash,7262814453.125,16
XLM/USD,Stellar,6999078613.28125,17
EUSDE/USD,Ethena USDe,6421535644.53125,18
LTC/USD,Litecoin,5869309570.3125,19
SUI/USD,Sui,5386930664.0625,20
DAI/USD,Dai,5364578125,21
AVAX/USD,Avalanche,5199090332.03125,22
HBAR/USD,Hedera,4768354003.90625,23
SHIB/USD,Shiba Inu,4280774414.0625,24
PYUSD/USD,PayPal USD,3878259765.625,25
UNIS/USD,Uniswap,3850870605.46875,26
MNTE/USD,Mantle,3818877441.40625,27
CRO/USD,Cronos,3679172119.140625,28
WLFIW/USD,World Liberty Financial,3587821289.0625,30
TON/USD,Toncoin,3570899902.34375,31
PDOTN/USD,Polkadot,2953648193.359375,32
USD1/USD,World Liberty Financial USD,2722195556.640625,33
AAVE/USD,Aave,2520798095.703125,34
BGB/USD,Bitget Token,2429438720.703125,35
TAO/USD,Bittensor,2324831298.828125,36
OKB/USD,OKB,2238727539.0625,37
NEAR/USD,NEAR Protocol,1927130859.375,38
ETC/USD,Ethereum Classic,1881940185.546875,39
M/USD,MemeCore,1858418945.3125,40
NIGHT/USD,Midnight,1848629394.53125,41
ASTER/USD,Aster,1764489501.953125,42
PI/USD,Pi,1723531127.9296875,43
PEPE/USD,Pepe,1685065063.4765625,44
ICP/USD,Internet Computer,1656477172.8515625,45
XAUT/USD,Tether Gold,1642982543.9453125,46
ENA/USD,Ethena,1611169311.5234375,47
PAXG/USD,PAX Gold,1530198242.1875,48
SKYN/USD,Sky,1505203247.0703125,49
USDG/USD,Global Dollar,1502255493.1640625,50
KCS/USD,KuCoin Token,1409046508.7890625,51
RLUSD/USD,Ripple USD,1335909667.96875,52
KAS/USD,Kaspa,1262970703.125,53
WLD/USD,Worldcoin,1260069946.2890625,54
ONDO/USD,Ondo,1229837768.5546875,55
APT/USD,Aptos,1176797729.4921875,56
POL/USD,Polygon Ecosystem Token,1131466918.9453125,57
ARBM/USD,Arbitrum,1059310546.875,58
TRUMPO/USD,OFFICIAL TRUMP,1013637878.4179688,59
ALGO/USD,Algorand,984272521.9726562,60
ATOM/USD,Cosmos,936567626.953125,61
QNT/USD,Quant,928970825.1953125,62
FIL/USD,Filecoin,927942871.09375,63
FLR/USD,Flare,919838256.8359375,64
VET/USD,VeChain,900646972.65625,65
XDC/USD,XDC Network,847139404.296875,66
USDD/USD,USDD,826350219.7265625,67
GT/USD,GateToken,823942199.7070312,68
MYX/USD,MYX Finance,797513610.8398438,69
SEI/USD,Sei,716487243.6523438,70
PUMPF/USD,Pump.fun,698051635.7421875,71
BONK/USD,Bonk,667496582.03125,72
CAKE/USD,PancakeSwap,604548522.9492188,74
NEXO/USD,Nexo,600743469.2382812,75
JUPA/USD,Jupiter,600581115.7226562,76
PENGU/USD,Pudgy Penguins,568724914.5507812,78
IP/USD,Story,527592407.2265625,79
OPM/USD,Optimism,527522827.1484375,80
FDUSD/USD,First Digital USD,518047790.52734375,81
CRV/USD,Curve DAO Token,496990478.515625,82
TUSD/USD,TrueUSD,492322296.1425781,83
DASH/USD,Dash,479660858.1542969,84
LDO/USD,Lido DAO,476191406.25,85
FET/USD,Artificial Superintelligence Alliance,473156158.4472656,86
ETHFI/USD,ether.fi,468865875.2441406,87
XTZ/USD,Tezos,467674713.1347656,88
VIRTUAL/USD,Virtuals Protocol,464392150.87890625,89
AB/USD,AB,459755828.8574219,90
MORPHO/USD,Morpho,457335144.04296875,91
AERO/USD,Aerodrome Finance,455393218.9941406,92
INJ/USD,Injective,454742431.640625,93
STXK/USD,Stacks,452515991.2109375,94
SPX/USD,SPX6900,448135437.01171875,95
MERL/USD,Merlin Chain,445555053.7109375,96
IMXM/USD,Immutable,445556304.9316406,97
PIPPIN/USD,pippin,427575286.8652344,98
JST/USD,JUST,398932098.3886719,99
SYRUP/USD,Maple Finance,396822845.4589844,100
STRKN/USD,Starknet,395701263.4277344,101
TIA/USD,Celestia,394824768.06640625,102
SUN/USD,Sun (New),393271270.7519531,103
