key,note,type,scrape_group,ticker_yahoo,webull,reuters,google,investing,finance_charts,stock_analysis,trading_view,ycharts,nasdaq,wsj,marketbeat,moomoo,cnbc
#91282CJE2,,bond,c,,https://www.webull.com/quote/bond-91282CJE2,,,,,,,,,,,,
91282CGA3,,bond,c,,https://www.webull.com/quote/bond-91282CGA3,,,,,,,,,,,,
91282CGE5,,bond,b,,https://www.webull.com/quote/bond-91282CGE5,,,,,,,,,,,,
91282CKS9,,bond,b,,https://www.webull.com/quote/bond-91282CKS9,,,,,,,,,,,,
91282CET4,,bond,b,,https://www.webull.com/quote/bond-91282CET4,,,,,,,,,,,,
AAPL,,stock,b,AAPL,https://www.webull.com/quote/nasdaq-aapl,,https://www.google.com/finance/quote/AAPL:NASDAQ?hl=en,https://www.investing.com/equities/apple-computer-inc,https://www.financecharts.com/stocks/AAPL,https://stockanalysis.com/stocks/aapl/,https://www.tradingview.com/symbols/NASDAQ-AAPL/,https://ycharts.com/companies/AAPL,,,https://www.marketbeat.com/stocks/NASDAQ/AAPL/,https://www.moomoo.com/stock/AAPL-US,https://www.cnbc.com/quotes/AAPL
AMZN,,stock,b,AMZN,https://www.webull.com/quote/nasdaq-AMZN,,https://www.google.com/finance/quote/AMZN:NASDAQ?hl=en,https://www.investing.com/equities/amazon-com-inc,https://www.financecharts.com/stocks/AMZN,https://stockanalysis.com/stocks/amzn/,https://www.tradingview.com/symbols/NASDAQ-AMZN/,https://ycharts.com/companies/AMZN,,,https://www.marketbeat.com/stocks/NASDAQ/AMZN/,https://www.moomoo.com/stock/AMZN-US,https://www.cnbc.com/quotes/AMZN
BRK-B,,stock,c,BRK-B,https://www.webull.com/quote/nyse-brk-b,https://www.reuters.com/markets/companies/BRKb/,https://www.google.com/finance/beta/quote/BRK.B:NYSE,https://www.investing.com/equities/berkshire-hathaway,https://www.financecharts.com/stocks/BRK-B,https://stockanalysis.com/stocks/brk.b/,https://www.tradingview.com/symbols/NYSE-BRK.B/,https://ycharts.com/companies/BRK.B,,,https://www.marketbeat.com/stocks/NYSE/BRK-B/,https://www.moomoo.com/stock/BRK.B-US,https://www.cnbc.com/quotes/BRK.B
NVDA,,stock,c,NVDA,https://www.webull.com/quote/nasdaq-NVDA,,https://www.google.com/finance/quote/NVDA:NASDAQ?hl=en,https://www.investing.com/equities/nvidia-corp,https://www.financecharts.com/stocks/NVDA,https://stockanalysis.com/quote/bkk/NV/,https://www.tradingview.com/symbols/NASDAQ-NVDA/,https://ycharts.com/companies/NVDA,https://www.nasdaq.com/market-activity/stocks/nvda,https://www.wsj.com/market-data/quotes/NVDA,https://www.marketbeat.com/stocks/NASDAQ/NVDA/,https://www.moomoo.com/stock/NVDA-US,https://www.cnbc.com/quotes/NVDA
SBUX,,stock,b,SBUX,https://www.webull.com/quote/nasdaq-SBUX,,https://www.google.com/finance/quote/SBUX:NASDAQ?hl=en,https://www.investing.com/equities/starbucks-corp,https://www.financecharts.com/stocks/SBUX,https://stockanalysis.com/stocks/sbux/,https://www.tradingview.com/symbols/NASDAQ-SBUX/,https://ycharts.com/companies/SBUX,,,https://www.marketbeat.com/stocks/NASDAQ/SBUX/,https://www.moomoo.com/stock/SBUX-US,https://www.cnbc.com/quotes/SBUX
SHAK,,stock,b,SHAK,https://www.webull.com/quote/nyse-shak,,https://www.google.com/finance/quote/SHAK:NYSE?hl=en,https://www.investing.com/equities/shake-shack-inc,https://www.financecharts.com/stocks/SHAK,https://stockanalysis.com/stocks/shak/,https://www.tradingview.com/symbols/NYSE-SHAK/,https://ycharts.com/companies/SHAK,,,https://www.marketbeat.com/stocks/NYSE/SHAK/,https://www.moomoo.com/stock/SHAK-US,https://www.cnbc.com/quotes/SHAK
WMT,,stock,b,WMT,https://www.webull.com/quote/nyse-wmt,,https://www.google.com/finance/quote/WMT:NYSE?hl=en,https://www.investing.com/equities/wal-mart-stores,https://www.financecharts.com/stocks/WMT,https://stockanalysis.com/stocks/wmt/,https://www.tradingview.com/symbols/NYSE-WMT/,https://ycharts.com/companies/WMT,,,https://www.marketbeat.com/stocks/NYSE/WMT/,https://www.moomoo.com/stock/WMT-US,https://www.cnbc.com/quotes/WMT
BKLC,,etf,c,BKLC,https://www.webull.com/quote/nysearca-bklc,,https://www.google.com/finance/quote/BKLC:NYSEARCA,https://www.investing.com/etfs/bklc-nyse,https://www.financecharts.com/etfs/BKLC,https://stockanalysis.com/etf/bklc/,https://www.tradingview.com/symbols/AMEX-BKLC/,https://ycharts.com/companies/BKLC,,,https://www.marketbeat.com/stocks/NYSEARCA/BKLC/,https://www.moomoo.com/stock/BKLC-US,https://www.cnbc.com/quotes/BKLC
#FNGB,,etf,c,FNGB,https://www.webull.com/quote/nysearca-fngb,,https://www.google.com/finance/quote/FNGB:NYSEARCA,https://www.investing.com/etfs/fngb,https://www.financecharts.com/etfs/FNGB,https://stockanalysis.com/etf/fngb/,https://www.tradingview.com/symbols/AMEX-FNGB/,https://ycharts.com/companies/FNGB,,,https://www.marketbeat.com/stocks/NYSEARCA/FNGB/,https://www.moomoo.com/stock/FNGB-US,https://www.cnbc.com/quotes/FNGB
#GPIQ,,etf,c,GPIQ,https://www.webull.com/quote/nasdaq-gpiq,https://www.reuters.com/markets/quote/GPIQ.O/,https://www.google.com/finance/quote/GPIQ:NASDAQ,https://www.investing.com/etfs/gpiq,https://www.financecharts.com/etfs/GPIQ,https://stockanalysis.com/etf/gpiq/,https://www.tradingview.com/symbols/NASDAQ-GPIQ/,https://ycharts.com/companies/GPIQ,,,https://www.marketbeat.com/stocks/NASDAQ/GPIQ/,https://www.moomoo.com/stock/GPIQ-US,https://www.cnbc.com/quotes/GPIQ
#GPIX,,etf,c,GPIX,https://www.webull.com/quote/nasdaq-gpix,https://www.reuters.com/markets/quote/GPIX.O/,https://www.google.com/finance/quote/GPIX:NASDAQ,https://www.investing.com/etfs/gpix,https://www.financecharts.com/etfs/GPIX,https://stockanalysis.com/etf/gpix/,https://www.tradingview.com/symbols/NASDAQ-GPIX/,https://ycharts.com/companies/GPIX,,,https://www.marketbeat.com/stocks/NASDAQ/GPIX/,https://www.moomoo.com/stock/GPIX-US,https://www.cnbc.com/quotes/GPIX
GOOG,Class C,stock,c,GOOG,,,,,,,,,,,,,https://www.cnbc.com/quotes/GOOG
GOOGL,Class A,stock,c,GOOGL,,,https://www.google.com/finance/beta/quote/GOOGL:NASDAQ
