key,type,yahoo_ticker,yahoo_url,webull_url,handler,reuters_ticker,gfinance_ticker,investingcom_url,Fintel_io_url,finance_charts_url
912797PK7,bond,,,https://www.webull.com/quote/bond-912797PK7,webull_bond,,,,,
912797LN5,bond,,,https://www.webull.com/quote/bond-912797LN5,webull_bond,,,,,
912797PZ4,bond,,,https://www.webull.com/quote/bond-912797PZ4,webull_bond,,,,,
912797MG9,bond,,,https://www.webull.com/quote/bond-912797MG9,webull_bond,,,,,
91282CGU9,bond,,,https://www.webull.com/quote/bond-91282CGU9,webull_bond,,,,,
91282CFK2,bond,,,https://www.webull.com/quote/bond-91282CFK2,webull_bond,,,,,
91282CJB8,bond,US91282CJB8.SG,,https://www.webull.com/quote/bond-91282CJB8,webull_bond,,,,,
91282CJE2,bond,,,https://www.webull.com/quote/bond-91282CJE2,webull_bond,,,,,
91282CGA3,bond,,,https://www.webull.com/quote/bond-91282CGA3,webull_bond,,,,,
91282CGE5,bond,,,https://www.webull.com/quote/bond-91282CGE5,webull_bond,,,,,
91282CKS9,bond,,,https://www.webull.com/quote/bond-91282CKS9,webull_bond,,,,,
91282CET4,bond,,,https://www.webull.com/quote/bond-91282CET4,webull_bond,,,,,
AAPL,stock,AAPL,,https://www.webull.com/quote/nasdaq-aapl,webull_stock,,,,,
AMZN,stock,AMZN,,https://www.webull.com/quote/nasdaq-AMZN,webull_stock,,,,,
NVDA,stock,NVDA,,https://www.webull.com/quote/nasdaq-NVDA,webull_stock,,,,,
SBUX,stock,SBUX,,https://www.webull.com/quote/nasdaq-SBUX,webull_stock,,,,,
SHAK,stock,SHAK,,https://www.webull.com/quote/nyse-shak,webull_stock,,,,,
WMT,stock,WMT,,https://www.webull.com/quote/nyse-wmt,webull_stock,,,,,
BKLC,etf,BKLC,,https://www.webull.com/quote/nysearca-bklc,webull_stock,,https://www.google.com/finance/quote/BKLC:NYSEARCA,https://www.investing.com/etfs/bklc-nyse,,
FNGB,etf,FNGB,,https://www.webull.com/quote/nysearca-fngb,webull_stock,,https://www.google.com/finance/quote/FNGB:NYSEARCA,https://www.investing.com/etfs/fngb,https://fintel.io/so/us/fngb,https://www.financecharts.com/etfs/FNGB
GPIQ,etf,GPIQ,,https://www.webull.com/quote/nasdaq-gpiq,webull_stock,https://www.reuters.com/markets/quote/GPIQ.O/,https://www.google.com/finance/quote/GPIQ:NASDAQ,https://www.investing.com/etfs/gpiq,https://fintel.io/so/us/gpiq,https://www.financecharts.com/etfs/GPIQ
GPIX,etf,GPIX,,https://www.webull.com/quote/nasdaq-gpix,webull_stock,https://www.reuters.com/markets/quote/GPIX.O/,https://www.google.com/finance/quote/GPIX:NASDAQ,https://www.investing.com/etfs/gpix,,
GPIX,etf,GPIX,,https://www.webull.com/quote/nasdaq-gpix,webull_stock,https://www.reuters.com/markets/quote/GPIX.O/,https://www.google.com/finance/quote/GPIX:NASDAQ,https://www.investing.com/etfs/gpix,,
JEPQ,etf,JEPQ,,https://www.webull.com/quote/nasdaq-jepq,webull_stock,https://www.reuters.com/markets/quote/JEPQ.O/,https://www.google.com/finance/quote/JEPQ:NASDAQ,https://www.investing.com/etfs/jepq,https://fintel.io/s/us/jepq,
MSTY,etf,MSTY,,https://www.webull.com/quote/nysearca-msty,webull_stock,https://www.reuters.com/markets/quote/MSTY.N/,https://www.google.com/finance/quote/MSTY:NYSEARCA,https://www.investing.com/etfs/msty,,
QDTE,etf,QDTE,,https://www.webull.com/quote/bats-qdte,webull_stock,https://www.reuters.com/markets/quote/QDTE.N/,https://www.google.com/finance/quote/QDTE:BATS,https://www.investing.com/etfs/qdte,,
QLD,etf,QLD,,https://www.webull.com/quote/nysearca-qld,webull_stock,https://www.reuters.com/markets/quote/QLD/,https://www.google.com/finance/quote/QLD:NYSEARCA,https://www.investing.com/etfs/proshares-ultra-qqq-etf,,
QQQ,etf,QQQ,,https://www.webull.com/quote/nasdaq-qqq,webull_stock,https://www.reuters.com/markets/quote/QQQ.O/,https://www.google.com/finance/quote/QQQ:NASDAQ,https://www.investing.com/etfs/powershares-qqqq,,
QQQM,etf,QQQM,,https://www.webull.com/quote/nasdaq-qqqm,webull_stock,https://www.reuters.com/markets/quote/QQQM.OQ/,https://www.google.com/finance/quote/QQQM:NASDAQ,https://www.investing.com/etfs/qqqm,,
SCHG,etf,SCHG,,https://www.webull.com/quote/nysearca-schg,webull_stock,https://www.reuters.com/markets/quote/SCHG.A/,https://www.google.com/finance/quote/SCHG:NYSEARCA,https://www.investing.com/etfs/schwab-us-large-cap-growth,,
SGOV,etf,SGOV,,https://www.webull.com/quote/nysearca-sgov,webull_stock,,https://www.google.com/finance/quote/SGOV:NYSEARCA,https://www.investing.com/etfs/sgov,,
